 Name                           Version         License                                                                             
 prometheus-client              0.9.0           Apache Software License                                                             
 prompt-toolkit                 3.0.28          BSD License                                                                         
 prompt-toolkit                 3.0.31          BSD License                                                                         
 psutil                         5.9.0           BSD License                                                                         
 psycopg2                       2.9.2           GNU Library or Lesser General Public License (LGPL)                                 
 ptyprocess                     0.7.0           ISC License (ISCL)                                                                  
 pure-eval                      0.2.2           MIT License                                                                         
 py                             1.10.0          MIT License                                                                         
 py                             1.11.0          MIT License                                                                         
 py                             1.11.0          MIT License                                                                         
 pyaml                          21.10.1         WTFPL                                                                               
 pycairo                        1.20.1          GNU Lesser General Public License v2 (LGPLv2); Mozilla Public License 1.1 (MPL 1.1) 
 pycryptodomex                  3.11.0          Apache Software License; BSD License; Public Domain                                 
 pycups                         2.0.1           GNU General Public License (GPL)                                                    
 pydantic                       1.10.2          MIT License                                                                         
 pydot                          1.4.2           MIT License                                                                         
 pyffmpeg                       2.3.0.3         Apache Software License                                                             
 pyfuse3                        3.2.0           GNU Library or Lesser General Public License (LGPL)                                 
 pylibacl                       0.6.0           GNU Lesser General Public License v2 or later (LGPLv2+)                             
 pyparsing                      2.4.7           MIT License                                                                         
 pyparsing                      3.0.9           MIT License                                                                         
 pyrsistent                     0.18.1          MIT License                                                                         
 pytest                         5.2.1           MIT License                                                                         
 pytest                         5.2.1           MIT License                                                                         
 python-apt                     2.4.0           GNU GPL                                                                             
 python-crfsuite                0.9.8           MIT License                                                                         
 python-dateutil                2.8.1           Apache Software License; BSD License                                                
 python-dateutil                2.8.2           Apache Software License; BSD License                                                
 python-debian                  0.1.43ubuntu1   DFSG approved; GNU General Public License v2 or later (GPLv2+)                      
 python-dotenv                  0.19.2          BSD License                                                                         
 python-gnupg                   0.5.0           BSD License                                                                         
 python-stdnum                  1.18            GNU Lesser General Public License v2 or later (LGPLv2+)                             
 pythran                        0.10.0          BSD License                                                                         
 pytube                         12.1.0          The Unlicense (Unlicense)                                                           
 pytz                           2022.1          MIT License                                                                         
 pytz                           2022.2.1        MIT License                                                                         
 pyxattr                        0.7.2           GNU Lesser General Public License v2 or later (LGPLv2+)                             
 pyxdg                          0.27            GNU Lesser General Public License v2 (LGPLv2)                                       
 pyzmq                          22.3.0          BSD License; GNU Library or Lesser General Public License (LGPL)                    
 questionary                    1.10.0          MIT License                                                                         
 questionary                    1.10.0          MIT License                                                                         
 rapidfuzz                      2.11.1          MIT License                                                                         
 regex                          2021.11.10      Apache Software License                                                             
 reportlab                      3.6.8           BSD License                                                                         
 requests                       2.25.1          Apache Software License                                                             
 requests                       2.28.1          Apache Software License                                                             
 rfc3986                        1.5.0           Apache Software License                                                             
 rich                           12.6.0          MIT License                                                                         
 roam                           0.3.1           Apache Software License                                                             
 ruamel.yaml                    0.17.21         MIT License                                                                         
 ruamel.yaml                    0.17.21         MIT License                                                                         
 ruamel.yaml.clib               0.2.6           MIT License                                                                         
 ruamel.yaml.clib               0.2.7           MIT License                                                                         
 schema                         0.7.5           MIT License                                                                         
 scikit-learn                   1.1.3           BSD License                                                                         
 scipy                          1.8.0           BSD License                                                                         
 seaborn                        0.12.1          BSD License                                                                         
 shellingham                    1.5.0           ISC License (ISCL)                                                                  
 simplejson                     3.17.6          Academic Free License (AFL); MIT License                                            
 six                            1.16.0          MIT License                                                                         
 sniffio                        1.2.0           Apache Software License; MIT License                                                
 sortedcontainers               2.1.0           Apache Software License                                                             
 soupsieve                      2.3.1           MIT License                                                                         
 soupsieve                      2.3.2.post1     MIT License                                                                         
 sqlparse                       0.4.2           BSD License                                                                         
 ssh-import-id                  5.11            GPLv3                                                                               
 starlette                      0.22.0          BSD License                                                                         
 sympy                          1.9             BSD License                                                                         
 systemd-python                 234             GNU Lesser General Public License v2 or later (LGPLv2+)                             
 tenacity                       8.1.0           Apache Software License                                                             
 terminado                      0.13.1          BSD License                                                                         
 testpath                       0.5.0           MIT                                                                                 
 texttable                      1.6.4           MIT License                                                                         
 threadpoolctl                  3.1.0           BSD License                                                                         
 toolz                          0.12.0          BSD License                                                                         
 tornado                        6.1             Apache Software License                                                             
 tqdm                           4.64.1          MIT License; Mozilla Public License 2.0 (MPL 2.0)                                   
 traitlets                      5.1.1           BSD License                                                                         
 trio                           0.19.0          Apache Software License; MIT License                                                
 typer                          0.5.0           MIT License                                                                         
 typing_extensions              4.3.0           Python Software Foundation License                                                  
 tzdata                         2022.2          Apache Software License                                                             
 ubuntu-advantage-tools         27.12           GPLv3                                                                               
 ubuntu-drivers-common          0.0.0           gpl                                                                                 
 ufoLib2                        0.13.1          Apache Software License                                                             
 ufw                            0.36.1          GPL-3                                                                               
 unattended-upgrades            0.1             UNKNOWN                                                                             
 unicodedata2                   14.0.0          Apache License 2.0                                                                  
 uritemplate                    4.1.1           Apache Software License; BSD License                                                
 urllib3                        1.26.12         MIT License                                                                         
 urllib3                        1.26.5          MIT License                                                                         
 usb-creator                    0.3.7           UNKNOWN                                                                             
 uvicorn                        0.20.0          BSD License                                                                         
 varname                        0.8.3           MIT License                                                                         
 vboxapi                        1.0             UNKNOWN                                                                             
 vorta                          0.8.3           GNU General Public License v3 (GPLv3)                                               
 wadllib                        1.3.6           GNU Library or Lesser General Public License (LGPL)                                 
 watchdog                       0.9.0           Apache Software License                                                             
 watchdog                       0.9.0           Apache Software License                                                             
 webencodings                   0.5.1           BSD License                                                                         
 websocket-client               1.2.3           Apache Software License                                                             
 widgetsnbextension             2.0.0           BSD License                                                                         
 widgetsnbextension             3.6.1           BSD License                                                                         
 wordcloud                      1.8.2.2         MIT                                                                                 
 wxPython                       4.0.7           wxWindows Library License (https://opensource.org/licenses/wxwindows.php)           
 xdg                            5               UNKNOWN                                                                             
 xkit                           0.0.0           GPL v2 or later                                                                     
 yarl                           1.8.1           Apache Software License                                                             
 zipp                           1.0.0           MIT License                                                                         
